"REF_DATE","GEO","DGUID","Tenure including social and affordable housing","Housing suitability and dwelling condition","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Ontario","2021A000235","Total, tenure","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594712937","25.1.5.4","72.0","","","","1"
"2021","Ontario","2021A000235","Total, tenure","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594712937","25.1.5.4","71.0","","","","1"
"2022","Ontario","2021A000235","Total, tenure","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594712937","25.1.5.4","71.0","","","","1"
"2018","Ontario","2021A000235","Total, tenure","Minor repairs needed","Number of households","Number","223","units","0","v1594712917","25.1.6.1","1197300","","","","0"
"2021","Ontario","2021A000235","Total, tenure","Minor repairs needed","Number of households","Number","223","units","0","v1594712917","25.1.6.1","1247900","","","","0"
"2022","Ontario","2021A000235","Total, tenure","Minor repairs needed","Number of households","Number","223","units","0","v1594712917","25.1.6.1","1310700","","","","0"
"2018","Ontario","2021A000235","Total, tenure","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594712938","25.1.6.4","22.0","","","","1"
"2021","Ontario","2021A000235","Total, tenure","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594712938","25.1.6.4","22.0","","","","1"
"2022","Ontario","2021A000235","Total, tenure","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594712938","25.1.6.4","22.0","","","","1"
"2018","Ontario","2021A000235","Total, tenure","Major repairs needed","Number of households","Number","223","units","0","v1594712918","25.1.7.1","352700","","","","0"
"2021","Ontario","2021A000235","Total, tenure","Major repairs needed","Number of households","Number","223","units","0","v1594712918","25.1.7.1","397300","","","","0"
"2022","Ontario","2021A000235","Total, tenure","Major repairs needed","Number of households","Number","223","units","0","v1594712918","25.1.7.1","408900","","","","0"
"2018","Ontario","2021A000235","Total, tenure","Major repairs needed","Percentage of households","Percent","239","units","0","v1594712939","25.1.7.4","6.4","","","","1"
"2021","Ontario","2021A000235","Total, tenure","Major repairs needed","Percentage of households","Percent","239","units","0","v1594712939","25.1.7.4","7.0","","","","1"
"2022","Ontario","2021A000235","Total, tenure","Major repairs needed","Percentage of households","Percent","239","units","0","v1594712939","25.1.7.4","7.0","","","","1"
"2018","Ontario","2021A000235","Owner","Total, housing suitability","Number of households","Number","223","units","0","v1594712954","25.2.1.1","3863700","","","","0"
"2021","Ontario","2021A000235","Owner","Total, housing suitability","Number of households","Number","223","units","0","v1594712954","25.2.1.1","3940000","","","","0"
"2022","Ontario","2021A000235","Owner","Total, housing suitability","Number of households","Number","223","units","0","v1594712954","25.2.1.1","3872500","","","","0"
"2018","Ontario","2021A000235","Owner","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594712975","25.2.1.4","100.0","","","","1"
"2021","Ontario","2021A000235","Owner","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594712975","25.2.1.4","100.0","","","","1"
"2022","Ontario","2021A000235","Owner","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594712975","25.2.1.4","100.0","","","","1"
"2018","Ontario","2021A000235","Owner","Suitable","Number of households","Number","223","units","0","v1594712955","25.2.2.1","3712300","","","","0"
"2021","Ontario","2021A000235","Owner","Suitable","Number of households","Number","223","units","0","v1594712955","25.2.2.1","3798700","","","","0"
"2022","Ontario","2021A000235","Owner","Suitable","Number of households","Number","223","units","0","v1594712955","25.2.2.1","3723600","","","","0"
"2018","Ontario","2021A000235","Owner","Suitable","Percentage of households","Percent","239","units","0","v1594712976","25.2.2.4","96.1","","","","1"
"2021","Ontario","2021A000235","Owner","Suitable","Percentage of households","Percent","239","units","0","v1594712976","25.2.2.4","96.4","","","","1"
"2022","Ontario","2021A000235","Owner","Suitable","Percentage of households","Percent","239","units","0","v1594712976","25.2.2.4","96.2","","","","1"
"2018","Ontario","2021A000235","Owner","Not suitable","Number of households","Number","223","units","0","v1594712956","25.2.3.1","151400","","","","0"
"2021","Ontario","2021A000235","Owner","Not suitable","Number of households","Number","223","units","0","v1594712956","25.2.3.1","141300","","","","0"
"2022","Ontario","2021A000235","Owner","Not suitable","Number of households","Number","223","units","0","v1594712956","25.2.3.1","148900","","","","0"
"2018","Ontario","2021A000235","Owner","Not suitable","Percentage of households","Percent","239","units","0","v1594712977","25.2.3.4","3.9","","","","1"
